,name,region,X,Y
64,Bruichladdich 16 Year Old 2002 - Single Cask (Master of Malt),Islay Whisky,-0.15060090985733876,0.06109753925114255
65,Mortlach 13 Year Old (Special Release 2021),Speyside Whisky,0.8347552492912989,0.30332647750206015
66,Ledaig Rioja Cask Finish - Sinclair Series,Island Whisky,-0.37079378663720863,0.5839044747237592
67,Old Pulteney 12 Year Old,Highland Whisky,-0.4433659116309657,0.7985348448626963
68,Arran Bodega Sherry Cask,Island Whisky,-0.21619609732282913,-0.633889271285762
69,Fettercairn 12 Year Old,Highland Whisky,0.018328881507992056,-0.18413451489914456
70,Glenfiddich Experimental Series - Project XX,Speyside Whisky,0.525250799295316,-0.16016715107693108
71,Dalmore Port Wood Reserve,Highland Whisky,-0.7792801846554256,-0.2209719828998351
72,Bunnahabhain 18 Year Old,Islay Whisky,0.7958263410254474,0.04649583093702597
73,Glenkinchie 12 Year Old,Lowland Whisky,0.33352161966579164,-0.23874238543817877
74,Ardbeg 10 Year Old,Islay Whisky,0.46687661873425446,1.0635554454513243
75,Edradour 10 Year Old 2011 (cask 241) - Un-Chillfiltered Collection (Signatory),Highland Whisky,0.20232070251944334,-0.5993671777660919
76,Laphroaig Select,Islay Whisky,-0.2825282866149241,0.9320930442804366
77,Oban 12 Year Old (Special Release 2021),Highland Whisky,0.4545407842482145,0.8865231894082246
78,Glenfarclas 30 Year Old,Speyside Whisky,1.0502359893732176,-0.5671352795032185
79,Glenfarclas 10 Year Old,Speyside Whisky,0.6331018699451315,-0.44880036376190924
80,Aberfeldy 12 Year Old,Highland Whisky,0.5323255130394224,-0.07297502782961117
81,Ardbeg Wee Beastie 5 Year Old,Islay Whisky,0.4624260913958058,0.6745301163322779
82,Ledaig 10 Year Old,Island Whisky,0.577895112123177,0.6829930231562975
83,Highland Park 12 Year Old - Viking Honour,Island Whisky,0.8390237119722316,-0.29067426166635413
84,Highland Park 12 Year Old (35cl),Island Whisky,0.8390237119722316,-0.29067426166635413
85,Deanston 12 Year Old,Highland Whisky,0.07450130840987881,-0.1605598108571632
86,Glencadam 10 Year Old,Highland Whisky,0.7671839188685036,-0.015175239003955312
87,Balblair 15 Year Old,Highland Whisky,-0.24683341660818348,-0.5479655080203729
88,Ledaig 18 Year Old,Island Whisky,-0.3633916397542972,0.7878158348120965
89,Aberfeldy 16 Year Old,Highland Whisky,-0.2861371617055485,-0.3738942599183783
90,Caol Ila 12 Year Old,Islay Whisky,0.6658796751940763,0.9539918832102158
91,Caperdonich 18 Year Old Peated - Secret Speyside Collection,Speyside Whisky,-0.37929608426690753,0.5976932419529626
92,Tomatin 12 Year Old,Highland Whisky,-0.722589704101,-0.24454298345073816
93,Octomore 10.2 8 Year Old,Islay Whisky,-0.6577166875003084,0.6985805627874722
94,Cragganmore 12 Year Old,Speyside Whisky,0.5559628428995238,-0.23085988153224407
95,Tamdhu 28 Year Old - Batch 1 (That Boutique-y Whisky Company),Speyside Whisky,0.17557248574431095,-0.1580650919469662
96,Old Pulteney 15 Year Old,Highland Whisky,-0.32687149285037087,0.23279032181531087
97,Bowmore 12 Year Old,Islay Whisky,0.4548347966082906,1.211824767199611
98,Kilchoman 100% Islay 11th Edition,Islay Whisky,-0.5745399633843746,0.3587690281208882
99,Jura 21 Year Old Tide,Island Whisky,-0.28472578464372744,-0.44228050978004313
100,Cardhu 12 Year Old,Speyside Whisky,0.9415972893165401,0.6229700151859147
101,Bladnoch 11 Year Old (2021 Release),Lowland Whisky,-0.680834964448233,-0.08863614240007363
102,Arran Machrie Moor Cask Strength,Island Whisky,-0.5920230421422192,0.7216376425170161
103,Bunnahabhain Stiùireadair,Islay Whisky,-0.1464260615670096,0.3104824265899401
104,Ardbeg Corryvreckan,Islay Whisky,0.9546328475593493,1.3619073629847493
105,Glen Scotia 11 Year Old Double Sherry Cask Finish,Campbeltown Whisky,-0.0403635609168293,0.14407601424367059
106,Balblair 12 Year Old,Highland Whisky,-0.5881856942937129,-0.24713627664388824
107,Talisker Port Ruighe,Island Whisky,0.26223866785151007,0.37327507714463737
108,Royal Lochnagar 16 Year Old (Special Release 2021),Highland Whisky,0.31572327546556245,-0.30214434611527863
109,Mortlach 20 Year Old,Speyside Whisky,-0.5923500106457047,-0.5034775164269536
110,Dalmore 30 Year Old – 2021 Edition,Highland Whisky,-0.4462561552985519,-0.5124284682023511
112,Dalmore Cigar Malt,Highland Whisky,-0.10468312729398922,-0.5874435793173218
113,Glenmorangie Lasanta 12 Year Old,Highland Whisky,-0.09657405760118187,-0.5985874738028042
114,Aultmore 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.034168761830650846,-0.2787344855666239
115,Octomore 11.3 5 Year Old Islay Barley,Islay Whisky,-0.15048713605584052,0.806173404035668
116,The Glenrothes 18 Year Old - Soleo Collection,Speyside Whisky,-0.07583606019115427,-0.21145310338018103
117,Aberlour A'Bunadh Batch 70,Speyside Whisky,-0.3388385230058919,-0.7356423724974218
118,Glengoyne 25 Year Old,Highland Whisky,0.21357402753958046,-0.3286105595628706
119,Jura 10 Year Old,Island Whisky,-0.2975220368017984,0.399399111941925
120,Smokehead Rum Rebel,Islay Whisky,-0.4646571883799732,1.4760309948630306
121,Bruichladdich 28 Year Old 1990 - Poise and Perseverance,Islay Whisky,-0.29279553136565756,-0.018629350021497834
122,Jura 12 Year Old Gift Pack with 2x Glasses,Island Whisky,-0.30725162577843945,-0.25080723487250167
123,Auchentoshan 44 Year Old 1966,Lowland Whisky,0.517960773317118,-0.07230348685826947
124,Allt-á-Bhainne 23 Year Old (That Boutique-y Whisky Company),Speyside Whisky,-0.10532656625399271,-0.019365567976284616
125,GlenDronach Port Wood,Highland Whisky,0.27324586198560563,-0.3580578048841988
126,The Ileach Peaty,Islay Whisky,1.0573651361070837,0.837789652300536
127,anCnoc 18 Year Old,Highland Whisky,0.36310400154429207,-0.3769477521155189
128,Laphroaig Quarter Cask,Islay Whisky,0.38816109685609024,0.09298832353271656
129,Mortlach 12 Year Old,Speyside Whisky,-0.34367747664342096,0.065727648765285
130,Kingsbarns Dream to Dram,Lowland Whisky,0.5965913479218237,0.03786962282902717
131,Tomatin 12 Year Old 2008 Cognac Cask Finish - French Collection,Highland Whisky,-0.5434649069878016,-0.23981589639794276
132,Braes of Glenlivet 30 Year Old - Derestricted,Speyside Whisky,-0.4510122533226411,-0.020002328983048517
133,Tomintoul 16 Year Old,Speyside Whisky,0.34624210210021344,-0.1146795554567803
134,Ardbeg An Oa BBQ Smoker Pack,Islay Whisky,0.12743634579338778,0.000902549252260354
135,Dailuaine 13 Year Old 2008 (cask 800032 & 800038) - Un-Chillfiltered Collection (Signatory),Speyside Whisky,0.22388725919566208,-0.2651108556951817
136,Arran Machrie Moor,Island Whisky,0.002861513832560697,0.47438737795662766
137,Glenglassaugh 10 Year Old 2010 (cask 2140),Highland Whisky,-0.07140985684296626,-0.21454157002316335
138,Craigellachie 10 Year Old - Derestricted,Speyside Whisky,-0.41016702349911377,0.07840150444565633
139,Jura 12 Year Old,Island Whisky,-0.30725162577843945,-0.25080723487250167
140,Port Charlotte PAC:01 2011,Islay Whisky,0.34035218177110427,0.2926387694974431
141,Wolfburn Batch No.270,Highland Whisky,-1.2030977161185554,0.3936425345930037
142,The Glenlivet Nàdurra Oloroso Batch OL1120,Speyside Whisky,0.28603738408225304,-0.5403481438216642
143,The Glenrothes 12 Year Old - Soleo Collection,Speyside Whisky,0.1201524468790442,-0.26637173285802346
144,Glengoyne 18 Year Old,Highland Whisky,0.3694809966796765,-0.501834547282595
145,Tullibardine 25 Year Old,Highland Whisky,0.395600565153445,-0.6185634342928479
146,Bunnahabhain Toiteach a Dhà,Islay Whisky,-0.7728161003150715,0.4779401108959227
147,Glen Scotia Double Cask,Campbeltown Whisky,0.04863929341260251,0.038889760355083375
148,Loch Lomond 25 Year Old - Lee Westwood Single Cask,Highland Whisky,-0.012789229608195335,-0.13228086283111276
150,Benriach Malting Season (First Edition),Speyside Whisky,-0.3826613164235805,0.3375818094487639
151,Glengoyne Cask Strength (Batch 8),Highland Whisky,-0.20551239483138897,-0.2721179909850947
152,Ailsa Bay Release 1.2 Sweet Smoke,Lowland Whisky,-0.3333414232736984,0.6772697683744805
153,Oban 2006 (bottled 2020) Montilla Fino Cask Finish - Distillers Edition,Highland Whisky,-0.9536419765470254,0.05382322292355471
154,Blair Athol 12 Year Old - Flora and Fauna,Highland Whisky,0.44922558814836067,-0.1281036719100907
155,Glenmorangie The Quinta Ruban 14 Year Old,Highland Whisky,-0.361689458914205,-0.3879227857325684
156,Bruichladdich 8 Year Old - The Laddie Eight,Islay Whisky,-0.5115018982229461,0.5593908454417075
